filepath,filename,modality,vocal_channel,emotion_code,emotion_label,intensity,statement,repetition,actor,duration_sec,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_1_mean,delta_mfcc_2_mean,delta_mfcc_3_mean,delta_mfcc_4_mean,delta_mfcc_5_mean,delta_mfcc_6_mean,delta_mfcc_7_mean,delta_mfcc_8_mean,delta_mfcc_9_mean,delta_mfcc_10_mean,delta_mfcc_11_mean,delta_mfcc_12_mean,delta_mfcc_13_mean,pitch_mean_hz,pitch_std_hz,pitch_range_hz,voiced_fraction,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_contrast_mean,zcr_mean,zcr_std,rms_energy_mean,rms_energy_std,rms_energy_max,chroma_mean,chroma_std,tempo_bpm,speech_ratio,silence_ratio,num_segments
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01.wav,03,01,05,angry,strong,kids,01,01,4.1041,-349.083679,184.503677,29.868893,38.214554,-20.021608,27.818737,0.824806,17.321604,-11.387679,28.007645,-4.335249,15.801891,-12.86241,16.57696,-13.475211,14.515033,-13.617985,14.08788,-8.423022,10.80689,-5.636474,11.818286,-4.970493,10.025186,-7.107897,9.656417,0.006252,-0.094327,-0.078879,-0.040945,-0.056207,-0.033578,-0.018825,-0.007807,-0.024279,-0.044623,-0.022732,0.007247,0.023328,396.7662,427.5585,1931.6682,1.0,3272.2435,1139.9385,2642.8932,6226.1979,20.7841,0.271181,0.230736,0.05369,0.070586,0.245731,0.488651,0.325536,92.2852,0.4922,0.5078,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,03-01-05-02-01-02-01.wav,03,01,05,angry,strong,kids,02,01,4.3711,-368.348022,159.456909,22.302996,51.258839,-18.730824,27.134089,3.21249,17.740681,-10.238885,26.720263,-5.397994,17.096365,-12.250566,17.253746,-7.984236,12.512141,-16.876492,15.305121,-9.074471,12.111712,-4.798123,12.989359,-8.329526,10.607133,-4.87846,8.021103,-0.740063,0.325565,0.092299,-0.109891,0.092695,-0.025945,0.035672,0.14022,0.02052,0.03923,-0.013007,-0.016819,0.003488,586.0175,591.2017,2137.9838,1.0,3229.694,1333.036,2490.1406,5907.3893,22.0645,0.244474,0.152974,0.032846,0.042252,0.178144,0.3779,0.304938,112.3471,0.5047,0.4953,3
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,03-01-05-02-02-01-01.wav,03,01,05,angry,strong,dogs,01,01,4.1375,-401.701721,186.902817,29.973305,54.705112,-15.743985,24.639017,4.878529,16.982233,-6.717307,22.711203,-3.917073,21.987354,-11.364849,13.775887,-9.566884,13.69875,-16.95793,15.916139,-6.610147,10.438025,-4.11258,9.846406,-8.695933,8.767328,-3.183545,7.106773,-0.017826,0.505212,0.062015,-0.132144,-0.019152,0.035699,-0.005509,-0.240769,-0.182139,-0.025424,0.014681,0.074074,-0.014932,714.3367,690.1293,2138.8321,1.0,3374.6495,1304.3776,2489.2131,5998.1399,20.9467,0.264231,0.175216,0.032816,0.045224,0.153187,0.476764,0.297304,184.5703,0.4546,0.5454,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,03-01-05-02-02-02-01.wav,03,01,05,angry,strong,dogs,02,01,4.4378,-303.908295,193.605011,22.274927,38.696716,-20.23263,29.275581,-3.011253,16.317842,-10.557668,25.863951,-6.588676,16.394678,-16.995613,19.905993,-11.742131,12.768283,-16.091637,15.004317,-9.435908,11.319639,-2.479576,11.558213,-8.391646,10.439845,-6.020058,9.19147,0.044962,0.026309,-0.028783,-0.029413,0.011491,0.033836,0.001111,-0.047377,-0.042199,0.003864,0.026589,0.010571,-0.016137,629.2464,580.4567,1963.0261,1.0,3338.8235,1183.118,2548.1197,6185.2444,21.7108,0.237719,0.156626,0.09227,0.116866,0.415087,0.410626,0.316362,143.5547,0.4971,0.5029,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,03-01-06-01-01-01-01.wav,03,01,06,fearful,normal,kids,01,01,3.6703,-595.330994,185.194092,57.990921,55.755753,2.259029,22.153135,14.343323,18.420578,8.518202,16.934793,-2.423009,13.582536,-4.188249,11.460947,-8.528271,13.464727,-12.255307,18.114708,-1.40471,10.20879,-2.260382,13.406861,0.504541,11.648198,3.646283,10.336176,0.068293,0.07691,0.035354,0.002693,-0.011954,-0.02306,-0.039998,-0.051613,-0.044086,-0.022764,-0.006186,-0.003028,-0.004736,314.0497,462.8229,2139.7633,1.0,2678.1336,1328.7193,2612.3174,5456.3647,21.1414,0.296347,0.263604,0.005951,0.008127,0.033517,0.512237,0.322241,112.3471,0.4302,0.5698,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,03-01-06-01-01-02-01.wav,03,01,06,fearful,normal,kids,02,01,3.637,-603.38562,182.85968,55.155254,60.562473,-6.027804,22.629398,9.1299,17.093695,4.394855,16.504349,-4.041097,15.707045,-8.073682,12.326448,-12.255183,14.20157,-16.346151,19.433296,-4.077743,9.189753,-3.449183,10.976404,-6.160686,10.504643,-0.263652,9.274956,-0.184175,-0.197119,-0.081944,-0.029362,-0.035405,-0.011864,0.058482,0.097786,0.064252,0.015268,0.00865,0.016223,-0.012962,427.6337,463.9027,1651.9731,1.0,2798.9728,1218.71,2549.7111,5640.3963,21.3982,0.381634,0.298621,0.005684,0.007322,0.023326,0.477454,0.301559,107.666,0.4597,0.5403,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,03-01-06-01-02-01-01.wav,03,01,06,fearful,normal,dogs,01,01,3.4368,-622.869934,190.870682,61.635395,61.348808,7.414828,24.017359,18.84099,20.904032,10.033153,16.644077,3.988721,13.922887,-1.035189,12.459233,-5.580243,17.902632,-8.488827,17.741667,0.321151,9.983036,0.076061,12.5776,0.364475,8.914877,2.794425,8.405724,0.281047,0.167803,0.022196,0.063627,0.05664,0.040879,0.011896,-0.00697,-0.007259,0.010346,0.017687,0.013036,0.003809,287.8983,439.6571,2139.7633,1.0,2588.4726,1393.8425,2572.3462,5317.3282,20.4119,0.301853,0.27611,0.004945,0.006482,0.02087,0.550036,0.306114,234.9077,0.4527,0.5473,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,03-01-06-01-02-02-01.wav,03,01,06,fearful,normal,dogs,02,01,3.7037,-624.026245,196.46109,60.417797,65.960342,-3.330775,23.937828,15.390851,18.450926,6.771766,16.420055,-0.058079,12.408916,-3.915335,9.834593,-10.592282,13.753755,-10.528063,15.940174,-0.664874,10.370803,-0.901281,11.646171,-1.234902,7.61553,0.289417,7.870539,0.007158,0.010094,0.010005,0.009858,0.009653,0.009394,0.009085,0.008731,0.008339,0.007919,0.00748,0.007035,0.006592,501.1008,637.9785,2139.7633,1.0,2972.9089,1611.9121,2499.3673,5613.5715,21.0193,0.335159,0.278649,0.004571,0.005813,0.018906,0.536136,0.303829,107.666,0.4639,0.5361,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-01-01.wav,03-01-06-02-01-01-01.wav,03,01,06,fearful,strong,kids,01,01,5.005,-439.206848,152.04509,52.212185,36.852425,-12.541273,19.703634,5.147727,17.701904,1.791493,18.999496,5.862842,15.459275,-5.597445,13.420191,-12.138769,11.109633,-14.728991,14.166936,-1.950158,10.59873,2.135672,11.107589,-3.671966,13.12904,-0.590433,8.580409,-0.014145,-0.01067,0.023357,0.030053,0.003671,-0.015861,-0.034519,-0.021713,0.014956,0.005512,-0.013211,-0.010954,-0.020023,673.7894,595.5817,2138.3998,1.0,2882.0581,1142.431,2550.3311,5593.8975,20.9104,0.177303,0.108893,0.016429,0.026313,0.119692,0.442536,0.300538,184.5703,0.3572,0.6428,3
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,03-01-06-02-01-02-01.wav,03,01,06,fearful,strong,kids,02,01,4.2376,-404.055847,133.992584,42.662426,34.426365,-17.537214,22.933706,-3.219983,15.492176,1.915013,17.694258,-0.231622,13.316621,-11.389852,13.939698,-15.012191,12.857821,-17.222418,16.558756,-7.270875,11.246948,-4.490682,9.612477,-9.206504,13.906423,-6.413215,8.923998,0.041986,0.016577,-0.040672,-0.02483,0.028719,0.033035,-0.020157,-0.050941,-0.014227,0.023346,0.000136,-0.039076,-0.03259,681.352,621.5472,1750.6888,1.0,2703.002,855.3989,2526.5912,5442.6053,21.827,0.161285,0.090661,0.022495,0.033176,0.19254,0.38962,0.314541,184.5703,0.4384,0.5616,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,03-01-06-02-02-01-01.wav,03,01,06,fearful,strong,dogs,01,01,3.9707,-369.595398,149.677856,39.190083,41.757538,-15.472043,26.962461,-0.950429,16.596109,-5.781356,23.095366,-1.20997,21.276443,-10.114829,14.963306,-18.269138,13.36879,-17.822474,14.670099,-9.481161,13.048972,-3.801051,9.021829,-7.896282,11.114174,-7.826027,8.684316,-0.883552,-0.674333,-0.019087,0.020442,-0.033922,-0.049809,0.025029,0.15637,0.157065,0.083588,0.038732,0.068319,0.100673,605.2309,551.7096,1741.7635,1.0,2982.1918,1161.7226,2600.7839,5730.2733,21.3861,0.17933,0.120807,0.036746,0.050578,0.232685,0.414106,0.312405,184.5703,0.4503,0.5497,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-02-01.wav,03-01-06-02-02-02-01.wav,03,01,06,fearful,strong,dogs,02,01,3.9039,-427.11377,165.257523,45.139057,42.4268,-15.436681,25.026438,-1.130169,16.938246,-0.722759,20.87541,1.965746,15.594939,-13.529376,13.77747,-15.487787,13.437531,-17.104061,15.768384,-9.546004,13.370764,2.338381,9.04826,-7.459709,12.046741,-7.364611,8.51305,0.22197,0.180362,-0.029121,-0.044936,0.08297,0.101038,-0.045062,-0.14562,-0.07497,0.039341,0.039459,-0.045507,-0.080117,637.4006,558.0837,1756.8455,1.0,2625.5702,1095.9628,2406.0115,5101.4579,21.9772,0.172906,0.124728,0.024839,0.034685,0.158258,0.40217,0.309115,161.499,0.452,0.548,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-01-01.wav,03-01-07-01-01-01-01.wav,03,01,07,disgust,normal,kids,01,01,3.8705,-647.611328,156.225449,63.878662,66.116356,-3.163664,27.10298,11.068918,25.306932,3.898929,20.63805,0.496262,14.196774,-7.21009,16.231092,-7.302176,11.537739,-13.785376,14.465903,-4.531086,10.965191,-0.682467,10.126081,-7.298968,12.596064,-1.648921,9.822035,0.132811,0.106689,-0.023788,-0.062464,-0.038763,-0.030137,-0.043604,-0.05779,-0.054708,-0.03023,-0.008092,-0.010743,-0.027736,417.195,528.0135,2139.7633,1.0,2915.147,1525.8317,2470.592,5493.0943,20.12,0.267371,0.225873,0.002605,0.003556,0.01553,0.494291,0.319945,95.7031,0.4679,0.5321,3
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-02-01.wav,03-01-07-01-01-02-01.wav,03,01,07,disgust,normal,kids,02,01,3.9039,-626.522217,165.062424,52.807503,62.462337,0.272689,25.34845,4.734688,20.761272,3.439811,18.557804,-0.427593,14.749178,-9.445805,15.574874,-6.785226,12.421926,-13.305903,13.956329,-4.895432,11.523525,-0.562291,10.93684,-6.350318,10.613626,-3.322409,8.17248,-2e-06,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,536.5724,612.2513,1964.7443,1.0,3268.0142,1470.9473,2688.5854,6235.009,20.2318,0.319556,0.251295,0.003003,0.004269,0.019226,0.508712,0.313825,89.1029,0.458,0.542,3
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-01-01.wav,03-01-07-01-02-01-01.wav,03,01,07,disgust,normal,dogs,01,01,3.9039,-667.505249,189.448654,71.246803,76.043884,1.978697,25.337873,12.600777,24.371113,1.806132,17.78936,3.438274,16.942902,-4.824987,12.192797,-12.123671,14.630001,-8.451324,11.499799,-2.030657,9.279044,-2.517185,12.320547,-3.023269,7.290143,-0.991771,8.950561,-0.082967,0.016361,0.049551,-0.059194,-0.009987,0.029108,0.012157,0.027828,0.023109,0.008459,0.021368,0.018224,-0.00781,412.827,535.9359,1896.4713,1.0,2959.3191,1704.1571,2411.7019,5386.9958,20.3944,0.317741,0.25496,0.0028,0.003421,0.012847,0.520789,0.312068,143.5547,0.4818,0.5182,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-02-01.wav,03-01-07-01-02-02-01.wav,03,01,07,disgust,normal,dogs,02,01,3.8372,-669.290222,188.223267,54.792439,74.86956,-0.901666,27.737177,10.5557,20.505388,-0.161375,16.157009,3.62591,16.260332,-5.391744,10.36482,-10.095322,13.934098,-7.446641,11.349307,-1.405205,9.528456,0.100797,10.756794,-3.963269,8.279586,-0.50473,7.214663,0.002797,0.00395,0.003932,0.003901,0.003858,0.003804,0.00374,0.003666,0.003583,0.003492,0.003394,0.003291,0.003183,635.6583,726.9306,2139.7633,1.0,3410.4164,1786.9388,2512.8746,6034.2262,20.0739,0.384033,0.289374,0.002873,0.003924,0.015171,0.561491,0.32152,172.2656,0.4781,0.5219,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-01-01.wav,03-01-07-02-01-01-01.wav,03,01,07,disgust,strong,kids,01,01,4.3043,-489.868774,146.000626,43.945282,53.499348,-6.938508,24.011019,-5.690659,25.004805,-9.426028,20.487732,-1.937155,14.862374,-11.578997,18.66975,-17.378063,15.425603,-13.903124,11.351112,-6.911769,13.286358,-3.551647,11.782808,-4.372269,8.362093,-7.017699,12.253883,0.448684,0.077673,-0.122392,-0.03481,-0.084414,-0.028366,-0.030414,-0.075987,-0.035803,-0.00412,-0.006828,-0.022267,0.007444,393.7346,418.6557,1926.3528,1.0,2948.2342,1305.0585,2540.5458,5588.6766,21.4021,0.245138,0.201372,0.011289,0.017314,0.079747,0.443361,0.323694,161.499,0.4801,0.5199,3
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-02-01.wav,03-01-07-02-01-02-01.wav,03,01,07,disgust,strong,kids,02,01,4.1041,-491.260498,154.471054,35.171391,59.644047,-9.034343,22.819471,1.899957,17.284393,-8.66488,20.839149,-6.350328,15.122646,-18.34103,16.75189,-15.881719,15.803034,-9.58409,9.867177,-5.861493,12.508362,-4.508714,14.221244,-5.891615,9.65998,-6.898971,12.699471,-0.730295,-0.332938,0.035875,-0.0037,0.144359,0.043075,0.079136,0.05487,-0.001486,0.107953,-0.003518,-0.015779,0.039987,513.6471,580.1966,2139.2453,1.0,3343.2765,1557.3102,2558.9977,6141.6467,20.7055,0.322635,0.265287,0.012456,0.016524,0.068007,0.483997,0.328352,86.1328,0.4583,0.5417,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-01-01.wav,03-01-07-02-02-01-01.wav,03,01,07,disgust,strong,dogs,01,01,4.0374,-520.753174,172.730515,43.312248,68.779991,9.500733,24.94323,-0.627845,22.10825,-7.164327,23.637671,0.429844,16.31056,-12.050826,16.009331,-15.976675,17.350843,-5.460499,8.851401,-8.713773,11.487642,-8.803648,13.57385,-2.977452,9.788562,-7.663945,10.703895,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,434.5352,592.0305,2139.7633,1.0,3098.7804,1724.2337,2640.6791,5852.0811,21.6747,0.285145,0.250678,0.011278,0.015339,0.055858,0.4658,0.324341,184.5703,0.5406,0.4594,3
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-02-01.wav,03-01-07-02-02-02-01.wav,03,01,07,disgust,strong,dogs,02,01,4.3711,-501.008179,159.458054,42.180492,60.33268,-0.95753,25.643988,-0.449006,19.144106,-4.012009,17.728218,-1.850168,16.461069,-13.47077,17.384245,-15.385603,17.740177,-8.406137,11.762161,-5.512526,14.494397,-6.51612,15.191479,-6.038744,9.001521,-7.158528,11.556826,-0.270947,-0.215313,0.02147,0.089531,0.064076,0.008919,0.037824,0.109774,0.050117,-0.019891,-0.020622,-0.038172,0.008428,382.703,509.9863,2139.7633,1.0,3146.0525,1601.8918,2605.6133,5882.7799,20.9296,0.354748,0.294219,0.011441,0.015462,0.066959,0.505986,0.322762,184.5703,0.4728,0.5272,2
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-01-01.wav,03-01-08-01-01-01-01.wav,03,01,08,surprised,normal,kids,01,01,3.4034,-660.501831,179.134644,52.980663,65.452477,-0.441455,18.679024,8.232828,21.437485,4.511838,18.384497,-2.524993,12.114824,-6.031238,12.053016,-6.618407,10.951692,-9.726553,13.348468,-5.89241,10.852425,-0.259724,9.332156,-5.319384,9.726525,-0.80952,8.911991,-3e-06,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,508.9654,600.2193,1943.0534,1.0,3406.4024,1637.3188,2666.8618,6309.668,18.9399,0.329978,0.256454,0.00314,0.004882,0.021782,0.591893,0.299181,135.9992,0.4094,0.5906,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-02-01.wav,03-01-08-01-01-02-01.wav,03,01,08,surprised,normal,kids,02,01,3.2699,-683.825378,193.277603,52.923653,68.717499,-3.502081,20.796776,10.541914,21.63405,6.780464,16.481363,-2.082963,11.527187,-6.373839,13.028219,-6.026372,11.119596,-9.960135,13.955611,-1.55301,7.604517,-1.118086,7.099012,-5.836149,10.136273,-0.471208,7.841699,-0.000354,-0.000498,-0.000496,-0.000494,-0.00049,-0.000485,-0.000479,-0.000472,-0.000464,-0.000455,-0.000445,-0.000434,-0.000422,518.0694,700.5355,2139.7633,1.0,3491.0594,1628.1617,2693.1979,6534.5636,19.1325,0.345308,0.253796,0.003139,0.004811,0.017104,0.608816,0.287745,161.499,0.3764,0.6236,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-01-01.wav,03-01-08-01-02-01-01.wav,03,01,08,surprised,normal,dogs,01,01,3.5369,-661.47937,188.986145,56.338783,70.954193,-0.100389,21.94298,12.948809,23.151562,3.457243,18.696505,-1.098002,14.778533,-3.964551,10.89073,-7.31417,13.768106,-11.041139,14.601688,-2.573115,8.650531,-0.80597,10.413358,-3.798745,7.682271,-1.945661,8.018659,-0.010819,-0.015271,-0.015192,-0.015061,-0.014879,-0.014649,-0.014371,-0.014048,-0.013684,-0.013281,-0.012843,-0.012373,-0.011876,366.4684,482.7003,2139.1515,1.0,3269.921,1630.3243,2588.6502,6097.3446,19.8863,0.360272,0.285635,0.003335,0.004881,0.020722,0.55662,0.301502,99.384,0.4333,0.5667,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-02-01.wav,03-01-08-01-02-02-01.wav,03,01,08,surprised,normal,dogs,02,01,3.2699,-666.403503,204.125992,49.284122,67.489632,-1.809936,21.469465,8.19951,20.203672,-0.468071,17.188467,-3.911485,16.506218,-4.323113,10.547876,-7.212905,12.81197,-9.47664,14.303079,-5.454694,12.026494,-0.942642,10.783435,-6.583642,9.408104,-0.950984,9.276505,-2e-06,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,434.313,577.2472,2139.7633,1.0,3561.0541,1642.4473,2677.7997,6504.6309,19.2598,0.343196,0.257942,0.003928,0.005595,0.018739,0.594053,0.305437,83.3543,0.4119,0.5881,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-01-01.wav,03-01-08-02-01-01-01.wav,03,01,08,surprised,strong,kids,01,01,3.4368,-605.224609,210.56076,51.048885,59.804165,-5.427211,21.964535,8.577295,20.047575,4.108055,20.579506,-2.650915,16.458597,-8.000926,15.180443,-6.305148,12.785693,-11.018699,17.668383,-4.717958,11.886096,0.425271,9.375195,-7.820921,13.468624,0.115805,7.799027,-2e-06,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,657.4278,740.799,2139.7633,1.0,3296.4932,1636.1459,2621.2145,6109.8657,18.646,0.277907,0.241594,0.007135,0.009894,0.032809,0.589217,0.30926,75.9995,0.4054,0.5946,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-02-01.wav,03-01-08-02-01-02-01.wav,03,01,08,surprised,strong,kids,02,01,3.5702,-553.193665,192.506592,41.93256,52.773319,-5.21146,19.943584,7.312742,17.567448,0.069644,20.123878,-3.356377,14.011783,-6.640589,13.813928,-7.579065,13.92595,-11.458306,16.621401,-6.691164,12.088518,-1.237377,7.139098,-6.659341,12.347091,-1.920015,8.009332,-1e-06,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,544.3174,617.7099,2139.1331,1.0,3429.5164,1519.3801,2705.975,6473.6639,18.6727,0.258155,0.205834,0.009419,0.013803,0.046238,0.551189,0.315285,66.256,0.4292,0.5708,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-01-01.wav,03-01-08-02-02-01-01.wav,03,01,08,surprised,strong,dogs,01,01,3.5035,-592.511292,211.130219,45.141872,60.892006,-4.394385,20.903288,7.735556,20.086542,0.550326,16.203138,-4.145599,18.102224,-6.748184,13.149241,-9.417959,14.576156,-14.750461,18.725101,-2.551564,7.101372,-2.767845,9.946243,-5.665908,10.6803,-0.981604,8.01477,-1e-06,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,425.7241,541.5525,2139.7633,1.0,3515.0243,1626.0084,2665.5114,6418.891,19.573,0.28827,0.224248,0.006975,0.008928,0.029085,0.565567,0.316721,184.5703,0.4374,0.5626,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-02-01.wav,03-01-08-02-02-02-01.wav,03,01,08,surprised,strong,dogs,02,01,3.27,-573.388428,201.129715,46.841911,55.857391,-5.569429,23.07239,6.129034,19.301695,-0.574839,21.426317,-0.70077,13.423558,-8.623765,15.509787,-9.702099,15.369646,-11.321595,16.201981,-5.246993,10.835279,-1.420761,9.790633,-5.737756,11.284399,-1.804039,7.291698,0.004105,0.005797,0.005768,0.005719,0.005651,0.005564,0.005459,0.005336,0.005196,0.00504,0.004869,0.004683,0.004484,343.7935,422.6411,1683.1998,1.0,3180.2463,1478.4544,2637.8375,6061.3676,19.4693,0.356504,0.276569,0.009493,0.013076,0.040627,0.582656,0.309389,92.2852,0.3906,0.6094,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-01-02.wav,03-01-01-01-01-01-02.wav,03,01,01,neutral,normal,kids,01,02,3.637,-650.710876,184.987061,54.477303,60.92123,-9.090126,33.432491,8.411754,22.132488,-4.387536,16.239088,-3.765706,14.619842,-5.362752,14.288279,-8.610381,14.354651,-3.971552,13.20122,-0.895974,8.737076,-4.721406,8.941647,-1.995388,7.500901,-5.056729,10.345557,0.218907,0.272908,0.193636,0.130044,0.108111,0.106328,0.094042,0.06813,0.046898,0.04071,0.041023,0.035432,0.02313,597.0445,759.9387,2139.7633,1.0,2564.8707,1662.2131,2112.892,4859.509,20.098,0.270194,0.260548,0.003616,0.005332,0.021528,0.395064,0.337446,151.9991,0.4469,0.5531,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-02-02.wav,03-01-01-01-01-02-02.wav,03,01,01,neutral,normal,kids,02,02,3.6036,-646.016907,177.073486,49.119709,62.348534,-10.800371,34.666981,11.480022,24.478495,-5.822235,18.754219,-3.082372,16.106487,-5.291969,14.770105,-7.318947,13.090697,-2.789875,11.979166,-1.952381,9.763209,-3.298187,7.392122,-2.320633,7.91533,-5.506025,11.209031,0.080075,0.107002,0.092322,0.076503,0.062482,0.048782,0.035425,0.025788,0.021851,0.021088,0.020164,0.019344,0.020477,482.4033,612.0973,2139.4232,1.0,3188.5265,1770.3987,2367.91,5774.1422,19.8686,0.30054,0.256548,0.003526,0.005012,0.018064,0.504792,0.346519,184.5703,0.451,0.549,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-01-02.wav,03-01-01-01-02-01-02.wav,03,01,01,neutral,normal,dogs,01,02,3.7704,-622.578613,186.430405,51.311451,65.192406,-10.439537,40.019318,4.76582,21.54851,-4.809167,18.140339,-3.219578,16.053295,-5.721809,15.407619,-9.393639,14.767608,-5.245094,13.1272,-1.987433,10.63074,-5.037799,8.636359,-2.868662,9.483789,-6.420317,10.932589,0.01275,0.017641,0.016525,0.014843,0.012812,0.010622,0.008378,0.006132,0.003985,0.002136,0.000776,-0.000127,-0.000918,488.5041,618.8086,2139.7633,1.0,3381.2001,1752.2577,2525.0755,6147.7295,19.8525,0.328973,0.266618,0.005332,0.007835,0.035401,0.512987,0.337457,161.499,0.4496,0.5504,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-02-02.wav,03-01-01-01-02-02-02.wav,03,01,01,neutral,normal,dogs,02,02,3.6036,-638.034851,190.631119,46.499241,62.745388,-9.892576,39.062637,4.896696,22.485884,-6.414649,18.705101,-5.070762,15.173359,-6.280471,13.804282,-10.606286,15.211397,-6.077465,12.730339,-3.233131,10.85978,-5.660992,7.984005,-3.273961,9.597142,-8.5222,12.415072,-0.018957,-0.026248,-0.024816,-0.023012,-0.021172,-0.019303,-0.01737,-0.015676,-0.014838,-0.015269,-0.016632,-0.017914,-0.018218,508.8365,645.3316,2138.9792,1.0,3347.0069,1811.2271,2486.4098,6080.3692,19.8009,0.320159,0.26071,0.004812,0.006962,0.028759,0.491107,0.329304,172.2656,0.4382,0.5618,1
data\ravdess\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-01-02.wav,03-01-02-01-01-01-02.wav,03,01,02,calm,normal,kids,01,02,3.8372,-663.290283,172.269608,52.128677,58.084213,-3.583639,33.70628,11.846415,21.769661,-4.697628,17.650232,-1.775514,13.358722,-3.438107,14.308965,-7.561898,12.997147,-3.0022,11.663868,-2.163771,9.822342,-3.221826,8.645324,-4.277386,8.987394,-4.551405,9.527666,0.045069,0.061382,0.054599,0.044303,0.032059,0.019816,0.009327,0.001593,-0.003303,-0.00588,-0.006783,-0.006503,-0.00543,539.8476,655.5196,2139.7633,1.0,3181.5939,1690.2154,2519.2302,5899.6436,20.7098,0.328969,0.267149,0.0033,0.004577,0.020697,0.455667,0.344769,198.768,0.4659,0.5341,1
